Select,Time,Misalignment
1,0.0,[2.48006682e-06]
1,0.00012501562695336918,[0.00015427]
1,0.00025003125390673836,[0.00058686]
1,0.00037504688086010754,[0.00158361]
1,0.0005000625078134767,[0.0047526]
1,0.000625078134766846,[0.00855104]
1,0.0007500937617202151,[0.01333228]
1,0.0008751093886735842,[0.01945682]
1,0.0010001250156269534,[0.02564494]
1,0.0011251406425803227,[0.02950529]
1,0.001250156269533692,[0.02722354]
1,0.001375171896487061,[0.02814212]
1,0.0015001875234404302,[0.02773572]
1,0.0016252031503937994,[0.03062294]
1,0.0017502187773471684,[0.03735486]
1,0.0018752344043005376,[0.04384104]
1,0.002000250031253907,[0.04926114]
1,0.002125265658207276,[0.05630952]
1,0.0022502812851606453,[0.06209674]
1,0.0023752969121140144,[0.06897739]
1,0.002500312539067384,[0.07365655]
1,0.002625328166020753,[0.07987167]
1,0.002750343792974122,[0.08704696]
1,0.0028753594199274913,[0.09235954]
1,0.0030003750468808603,[0.09602648]
1,0.0031253906738342293,[0.10060989]
1,0.0032504063007875988,[0.10631112]
1,0.003375421927740968,[0.11173425]
1,0.003500437554694337,[0.11710801]
1,0.0036254531816477063,[0.12360272]
1,0.0037504688086010753,[0.1291615]
1,0.0038754844355544447,[0.1351368]
1,0.004000500062507814,[0.14072212]
1,0.004125515689461183,[0.14479067]
1,0.004250531316414552,[0.14656091]
1,0.004375546943367921,[0.14617085]
1,0.004500562570321291,[0.14821207]
1,0.004625578197274659,[0.15126513]
1,0.004750593824228029,[0.15596962]
1,0.004875609451181398,[0.16106745]
1,0.005000625078134768,[0.16046624]
1,0.005125640705088136,[0.16265772]
1,0.005250656332041506,[0.16402348]
1,0.005375671958994875,[0.16608576]
1,0.005500687585948244,[0.17133187]
1,0.005625703212901613,[0.17886462]
1,0.005750718839854983,[0.18406143]
1,0.005875734466808351,[0.19019964]
1,0.006000750093761721,[0.19725993]
1,0.00612576572071509,[0.20422142]
1,0.006250781347668459,[0.21103421]
1,0.006375796974621828,[0.21561735]
1,0.0065008126015751976,[0.21870561]
1,0.006625828228528566,[0.21596002]
1,0.006750843855481936,[0.216132]
1,0.006875859482435305,[0.21901006]
1,0.007000875109388674,[0.22199151]
1,0.007125890736342043,[0.22479698]
1,0.0072509063632954125,[0.226362]
1,0.007375921990248782,[0.22990465]
1,0.0075009376172021506,[0.2300349]
1,0.00762595324415552,[0.23194617]
1,0.0077509688711088895,[0.23480093]
1,0.007875984498062259,[0.23821381]
1,0.008001000125015627,[0.23966095]
1,0.008126015751968996,[0.24013451]
1,0.008251031378922366,[0.24063764]
1,0.008376047005875735,[0.23672666]
1,0.008501062632829104,[0.23363634]
1,0.008626078259782474,[0.23312285]
1,0.008751093886735842,[0.23321458]
1,0.008876109513689211,[0.23150958]
1,0.009001125140642581,[0.23312463]
1,0.00912614076759595,[0.23669317]
1,0.009251156394549319,[0.24047384]
1,0.009376172021502689,[0.24336256]
1,0.009501187648456057,[0.24425567]
1,0.009626203275409426,[0.24453187]
1,0.009751218902362796,[0.25034751]
1,0.009876234529316165,[0.25643441]
1,0.010001250156269535,[0.26183655]
1,0.010126265783222904,[0.26496489]
1,0.010251281410176272,[0.26797222]
1,0.010376297037129643,[0.2700901]
1,0.010501312664083011,[0.27108058]
1,0.01062632829103638,[0.27229343]
1,0.01075134391798975,[0.27247532]
1,0.010876359544943119,[0.27629152]
