Select,Time,Misalignment
4,0.0,[2.3664596e-12]
4,0.00012501562695336918,[5.86420639e-05]
4,0.00025003125390673836,[0.00019499]
4,0.00037504688086010754,[0.00050524]
4,0.0005000625078134767,[0.00190895]
4,0.000625078134766846,[0.00178705]
4,0.0007500937617202151,[0.00171877]
4,0.0008751093886735842,[0.00125659]
4,0.0010001250156269534,[0.00078675]
4,0.0011251406425803227,[0.00036344]
4,0.001250156269533692,[0.00011109]
4,0.001375171896487061,[1.03647e-05]
4,0.0015001875234404302,[0.00025646]
4,0.0016252031503937994,[0.00050103]
4,0.0017502187773471684,[0.00046795]
4,0.0018752344043005376,[0.00016061]
4,0.002000250031253907,[0.00013742]
4,0.002125265658207276,[0.0008977]
4,0.0022502812851606453,[0.00255467]
4,0.0023752969121140144,[0.00551006]
4,0.002500312539067384,[0.00755689]
4,0.002625328166020753,[0.0106865]
4,0.002750343792974122,[0.01193555]
4,0.0028753594199274913,[0.01241961]
4,0.0030003750468808603,[0.01242449]
4,0.0031253906738342293,[0.01240758]
4,0.0032504063007875988,[0.01256231]
4,0.003375421927740968,[0.01193619]
4,0.003500437554694337,[0.01297849]
4,0.0036254531816477063,[0.01179024]
4,0.0037504688086010753,[0.01191685]
4,0.0038754844355544447,[0.01329901]
4,0.004000500062507814,[0.01621786]
4,0.004125515689461183,[0.01869602]
4,0.004250531316414552,[0.0208019]
4,0.004375546943367921,[0.02240852]
4,0.004500562570321291,[0.02310831]
4,0.004625578197274659,[0.02551609]
4,0.004750593824228029,[0.02809674]
4,0.004875609451181398,[0.0303119]
4,0.005000625078134768,[0.03045938]
4,0.005125640705088136,[0.0312234]
4,0.005250656332041506,[0.03372645]
4,0.005375671958994875,[0.03663734]
4,0.005500687585948244,[0.04189723]
4,0.005625703212901613,[0.04916077]
4,0.005750718839854983,[0.05094698]
4,0.005875734466808351,[0.05322855]
4,0.006000750093761721,[0.05915922]
4,0.00612576572071509,[0.06606051]
4,0.006250781347668459,[0.0719494]
4,0.006375796974621828,[0.07437233]
4,0.0065008126015751976,[0.07471994]
4,0.006625828228528566,[0.07087858]
4,0.006750843855481936,[0.06902046]
4,0.006875859482435305,[0.06724279]
4,0.007000875109388674,[0.0628557]
4,0.007125890736342043,[0.05796188]
4,0.0072509063632954125,[0.05273343]
4,0.007375921990248782,[0.04989164]
4,0.0075009376172021506,[0.04677475]
4,0.00762595324415552,[0.04463849]
4,0.0077509688711088895,[0.04391251]
4,0.007875984498062259,[0.04438532]
4,0.008001000125015627,[0.0403233]
4,0.008126015751968996,[0.03650441]
4,0.008251031378922366,[0.03399079]
4,0.008376047005875735,[0.03128266]
4,0.008501062632829104,[0.02782502]
4,0.008626078259782474,[0.02427971]
4,0.008751093886735842,[0.02047213]
4,0.008876109513689211,[0.01615774]
4,0.009001125140642581,[0.01294728]
4,0.00912614076759595,[0.01079204]
4,0.009251156394549319,[0.00890746]
4,0.009376172021502689,[0.00743614]
4,0.009501187648456057,[0.00654633]
4,0.009626203275409426,[0.00600924]
4,0.009751218902362796,[0.00660853]
4,0.009876234529316165,[0.00792723]
4,0.010001250156269535,[0.00961485]
4,0.010126265783222904,[0.01146531]
4,0.010251281410176272,[0.01288118]
4,0.010376297037129643,[0.01452748]
4,0.010501312664083011,[0.01634318]
4,0.01062632829103638,[0.01797499]
4,0.01075134391798975,[0.01812221]
4,0.010876359544943119,[0.01643643]
4,0.011001375171896487,[0.01531036]
4,0.011126390798849858,[0.0134899]
4,0.011251406425803226,[0.01242834]
4,0.011376422052756595,[0.01144669]
4,0.011501437679709965,[0.01015191]
4,0.011626453306663334,[0.01006139]
4,0.011751468933616702,[0.0102504]
4,0.011876484560570073,[0.01010359]
4,0.012001500187523441,[0.00961736]
4,0.01212651581447681,[0.00926506]
4,0.01225153144143018,[0.0080119]
4,0.012376547068383549,[0.00715539]
4,0.012501562695336917,[0.00681971]
4,0.012626578322290288,[0.00605144]
4,0.012751593949243656,[0.00542801]
4,0.012876609576197025,[0.00513132]
4,0.013001625203150395,[0.00514119]
4,0.013126640830103764,[0.00601776]
4,0.013251656457057132,[0.00701003]
4,0.013376672084010503,[0.00773877]
4,0.013501687710963871,[0.0083721]
4,0.01362670333791724,[0.00866057]
4,0.01375171896487061,[0.008633]
4,0.013876734591823979,[0.00010296]
4,0.014001750218777347,[-0.00679345]
4,0.014126765845730718,[-0.01880868]
4,0.014251781472684086,[-0.02960107]
4,0.014376797099637456,[-0.03984672]
4,0.014501812726590825,[-0.04701688]
4,0.014626828353544194,[-0.05096075]
4,0.014751843980497564,[-0.04841317]
4,0.014876859607450933,[-0.05386618]
4,0.015001875234404301,[-0.06370474]
4,0.015126890861357671,[-0.06809946]
4,0.01525190648831104,[-0.07181114]
4,0.015376922115264409,[-0.07963627]
4,0.015501937742217779,[-0.08742821]
4,0.015626953369171147,[-0.09312449]
4,0.015751968996124518,[-0.11221989]
4,0.015876984623077885,[-0.15819819]
4,0.016002000250031255,[-0.19847159]
4,0.016127015876984625,[-0.23707636]
4,0.016252031503937992,[-0.2693226]
4,0.016377047130891362,[-0.29585537]
4,0.016502062757844733,[-0.32788363]
4,0.0166270783847981,[-0.35811023]
4,0.01675209401175147,[-0.38146361]
4,0.01687710963870484,[-0.38382698]
4,0.017002125265658207,[-0.38871735]
4,0.017127140892611577,[-0.4001673]
4,0.017252156519564948,[-0.41095937]
4,0.017377172146518315,[-0.42089083]
4,0.017502187773471685,[-0.42800377]
4,0.017627203400425055,[-0.4428914]
4,0.017752219027378422,[-0.45311826]
4,0.017877234654331792,[-0.4735272]
4,0.018002250281285163,[-0.49353413]
4,0.01812726590823853,[-0.50760271]
4,0.0182522815351919,[-0.53764612]
4,0.01837729716214527,[-0.56722747]
4,0.018502312789098637,[-0.60126959]
4,0.018627328416052007,[-0.62892194]
4,0.018752344043005378,[-0.66557767]
4,0.018877359669958745,[-0.68974992]
4,0.019002375296912115,[-0.74667463]
4,0.019127390923865485,[-0.80117759]
4,0.019252406550818852,[-0.85693576]
4,0.019377422177772222,[-0.91929473]
4,0.019502437804725593,[-0.97386982]
4,0.01962745343167896,[-1.05962208]
4,0.01975246905863233,[-1.13620262]
4,0.0198774846855857,[-1.2299509]
4,0.02000250031253907,[-1.30995301]
4,0.020127515939492437,[-1.40316655]
4,0.020252531566445808,[-1.48308539]
4,0.020377547193399178,[-1.55977052]
4,0.020502562820352545,[-1.63628301]
4,0.020627578447305915,[-1.69120941]
4,0.020752594074259285,[-1.7710148]
4,0.020877609701212652,[-1.83708407]
4,0.021002625328166023,[-1.91159386]
4,0.021127640955119393,[-1.98997543]
4,0.02125265658207276,[-2.23124746]
4,0.02137767220902613,[-2.49279922]
4,0.0215026878359795,[-2.74031214]
4,0.021627703462932867,[-2.98094505]
4,0.021752719089886238,[-3.20330421]
4,0.021877734716839608,[-3.44997487]
4,0.022002750343792975,[-3.71649876]
4,0.022127765970746345,[-3.96450399]
4,0.022252781597699715,[-4.13354794]
4,0.022377797224653082,[-4.26403463]
4,0.022502812851606453,[-4.38133925]
4,0.022627828478559823,[-4.48275201]
4,0.02275284410551319,[-4.56506387]
4,0.02287785973246656,[-4.63037497]
4,0.02300287535941993,[-4.64888678]
4,0.023127890986373297,[-4.68967122]
4,0.023252906613326668,[-4.76984034]
4,0.023377922240280038,[-4.83913611]
4,0.023502937867233405,[-4.91230083]
4,0.023627953494186775,[-4.97745422]
4,0.023752969121140145,[-5.03756698]
4,0.023877984748093512,[-5.08900742]
4,0.024003000375046882,[-5.13662337]
4,0.024128016002000253,[-5.186448]
