Select,Time,Misalignment
3,0.0,[6.5309068]
3,0.00012501562695336918,[3.96193969]
3,0.00025003125390673836,[5.36428134]
3,0.00037504688086010754,[4.01587563]
3,0.0005000625078134767,[2.82938838]
3,0.000625078134766846,[2.06457002]
3,0.0007500937617202151,[1.64458652]
3,0.0008751093886735842,[1.18788147]
3,0.0010001250156269534,[0.84750473]
3,0.0011251406425803227,[0.87258937]
3,0.001250156269533692,[1.18003073]
3,0.001375171896487061,[0.77835819]
3,0.0015001875234404302,[0.50845542]
3,0.0016252031503937994,[0.29841048]
3,0.0017502187773471684,[0.1217754]
3,0.0018752344043005376,[0.12616889]
3,0.002000250031253907,[0.03215601]
3,0.002125265658207276,[0.0067052]
3,0.0022502812851606453,[0.00889069]
3,0.0023752969121140144,[0.0164712]
3,0.002500312539067384,[0.01583584]
3,0.002625328166020753,[0.00471636]
3,0.002750343792974122,[0.0012432]
3,0.0028753594199274913,[0.00108122]
3,0.0030003750468808603,[0.00838522]
3,0.0031253906738342293,[0.00559094]
3,0.0032504063007875988,[0.00769346]
3,0.003375421927740968,[0.0112594]
3,0.003500437554694337,[0.01139965]
3,0.0036254531816477063,[0.01187116]
3,0.0037504688086010753,[0.01780919]
3,0.0038754844355544447,[0.02111165]
3,0.004000500062507814,[0.02660524]
3,0.004125515689461183,[0.02447799]
3,0.004250531316414552,[0.0245279]
3,0.004375546943367921,[0.03655789]
3,0.004500562570321291,[0.04766093]
3,0.004625578197274659,[0.06105888]
3,0.004750593824228029,[0.08612147]
3,0.004875609451181398,[0.08184977]
3,0.005000625078134768,[0.08247328]
3,0.005125640705088136,[0.08850849]
3,0.005250656332041506,[0.08217123]
3,0.005375671958994875,[0.0979745]
3,0.005500687585948244,[0.09402922]
3,0.005625703212901613,[0.05541327]
3,0.005750718839854983,[0.04244637]
3,0.005875734466808351,[0.04743921]
3,0.006000750093761721,[0.06184959]
3,0.00612576572071509,[0.05169994]
3,0.006250781347668459,[0.04915074]
3,0.006375796974621828,[0.04882427]
3,0.0065008126015751976,[0.07346305]
3,0.006625828228528566,[0.05266528]
3,0.006750843855481936,[0.04815874]
3,0.006875859482435305,[0.0501833]
3,0.007000875109388674,[0.04610559]
3,0.007125890736342043,[0.04783399]
3,0.0072509063632954125,[0.04187526]
3,0.007375921990248782,[0.02892595]
3,0.0075009376172021506,[0.02681464]
3,0.00762595324415552,[0.02992245]
3,0.0077509688711088895,[0.03100371]
3,0.007875984498062259,[0.03306846]
3,0.008001000125015627,[0.03002771]
3,0.008126015751968996,[0.03002438]
3,0.008251031378922366,[0.0322338]
3,0.008376047005875735,[0.02603348]
3,0.008501062632829104,[0.01504831]
3,0.008626078259782474,[0.01516509]
3,0.008751093886735842,[0.01477036]
3,0.008876109513689211,[0.01331062]
3,0.009001125140642581,[0.01582892]
3,0.00912614076759595,[0.0155805]
3,0.009251156394549319,[0.0131974]
3,0.009376172021502689,[0.013788]
3,0.009501187648456057,[0.01379405]
3,0.009626203275409426,[0.01930114]
